uniprotkb	uniprotkb	geneName	geneName	PubMedID	Evidence	edgeValue
Q14141	Q96B97	SEPT6	SH3KBP1	19531213	PINA	1.000
P04637	P36956	p53	SREBF1	22265415	PINA	1.000
Q15717	Q7Z5K2	ELAVL1	WAPAL	19322201	PINA	1.000
P00492	Q93034	HPRT1	CUL5	21145461	PINA	1.000
P21675	Q92804	TAF1	TAF15	8663456	PINA	1.000
Q05513	Q14449	PRKCZ	GRB14	12242277	PINA	1.000
P07900	Q7L3B6	HSP90AA1	CDC37L1	15850399	PINA	1.000
Q969R5	Q9HAF1	L3MBTL2	MEAF6	16189514	PINA	1.000
P0CG48	P53602	UBC	MVD	21906983, 21139048	PINA	1.000
P11487	P15880	FGF3	RPS2	16263090	PINA	1.000
P54132	P55854	BLM	SUMO3	16620772	PINA	1.000
P22681	Q53XJ8	CBL	F2RL1	15708858	PINA	1.000
O75832	Q9Y617	PSMD10	PSAT1	21988832	PINA	1.000
O15481	Q8IY81	MAGEB4	FTSJ3	16189514	PINA	1.000
P08727	P55854	KRT19	SUMO3	21062750	PINA	1.000
Q16778	Q9NV56	HIST2H2BE	MRGBP	17573780	PINA	1.000
O14497	Q8TAQ2	ARID1A	SMARCC2	12837248, 20305087, 19650111, 16055720, 12665591, 11780067	PINA	1.000
O95602	Q92688	POLR1A	ANP32B	9285060	PINA	1.000
Q96BR9	Q9BXS5	ZBTB8A	AP1M1	16189514	PINA	1.000
P10276	P12931	RARA	SRC	17363140, 12612084, 10454579, 20338915, 17641689	PINA	1.000
P11233	Q92930	RALA	RAB8B	10889189	PINA	1.000
P35244	Q96JN8	RPA3	NEURL4	22261722	PINA	1.000
P35398	Q9NPJ4	RORA	PNRC2	15604093	PINA	1.000
P01112	Q9NZL6	HRAS	RGL1	10545207, 20936779	PINA	1.000
Q9H6Y7	Q9Y4W6	RNF167	AFG3L2		PINA	1.000
P04637	P07900	p53	HSP90AA1	11507088, 15001357, 21268072, 12427754, 11297531, 10557093	PINA	1.000
O60260	P68036	PARK2	UBE2L3	11078524	PINA	1.000
Q5JWF2	Q9NR28	GNAS	DIABLO	16729033, 11801603	PINA	1.000
P21583	P49771	KITLG	FLT3LG	9590652	PINA	1.000
O00411	P51858	POLRMT	HDGF	21907836	PINA	1.000
Q15287	Q9Y3F4	RNPS1	STRAP	17353931	PINA	1.000
Q14257	Q15818	RCN2	NPTX1	10748068, 9261167	PINA	1.000
P0CG48	P39019	UBC	RPS19	21906983, 22178446, 16196087, 21890473, 21139048	PINA	1.000
P51532	Q16594	SMARCA4	TAF9	20195357	PINA	1.000
O15347	P0CG48	HMGB3	UBC	21906983, 21139048, 21890473	PINA	1.000
Q92835	Q99704	INPP5D	DOK1	10822173	PINA	1.000
P60520	Q14151	GABARAPL2	SAFB2	20562859	PINA	1.000
Q13526	Q96S55	PIN1	WRNIP1	16055720	PINA	1.000
O60716	Q9Y572	CTNND1	RIPK3	21903422	PINA	1.000
Q15717	Q7Z5L9	ELAVL1	IRF2BP2	19322201	PINA	1.000
P12931	Q9HCH5	SRC	SYTL2	16051665	PINA	1.000
P84022	Q5TA50	SMAD3	GLTPD1	21988832	PINA	1.000
O75506	Q00613	HSBP1	HSF1	9649501	PINA	1.000
Q14966	Q9NRC8	ZNF638	SIRT7	22586326	PINA	1.000
P05112	Q14627	IL4	IL13RA2	9130652	PINA	1.000
P15880	Q92905	RPS2	COPS5	21145461	PINA	1.000
Q02413	Q9Y337	DSG1	KLK5	15140227	PINA	1.000
P0CG48	Q5T7N3	UBC	KANK4	20972266	PINA	1.000
Q14145	Q96CG1	KEAP1	ETF1	16189514	PINA	1.000
P18031	P51692	PTPN1	STAT5B	12237455	PINA	1.000
P04844	Q9BUV8	RPN2	C20orf24	17353931	PINA	1.000
P05787	P11532	KRT8	DMD	16000376	PINA	1.000
Q15797	Q99717	SMAD1	SMAD5	15231748	PINA	1.000
Q14151	Q15424	SAFB2	SAFB	12660241	PINA	1.000
O60551	P04637	NMT2	p53	16530191	PINA	1.000
Q09019	Q14160	DMWD	SCRIB	19615732	PINA	1.000
P09651	Q9UMX1	HNRNPA1	SUFU	14611647	PINA	1.000
P0CG48	P39023	UBC	RPL3	18781797, 21987572, 21139048, 22178446, 16196087, 21906983, 21890473, 21963094	PINA	1.000
Q96T60	Q9NP98	PNKP	MYOZ1	16189514	PINA	1.000
O75815	P07355	BCAR3	ANXA2	17353931	PINA	1.000
P0CG48	Q5SVS4	UBC	SLC25A30	21906983	PINA	1.000
Q53HC9	Q8N163	TSSC1	KIAA1967	17353931	PINA	1.000
Q9UIG0	Q9Y5B9	BAZ1B	SUPT16H	12837248	PINA	1.000
P0CG48	Q5T848	UBC	GPR158	18655026	PINA	1.000
P51570	Q01804	GALK1	OTUD4	19615732	PINA	1.000
Q15559	Q9Y6D9	Q15559	MAD1L1	16189514	PINA	1.000
P05107	Q9Y4G6	ITGB2	TLN2	19234221	PINA	1.000
Q3ZCQ8	Q9Y6K9	TIMM50	IKBKG	14743216	PINA	1.000
Q06323	Q9HB96	PSME1	FANCE	20937699	PINA	1.000
P17081	P41743	RHOQ	PRKCI	10934474	PINA	1.000
P19174	Q06124	PLCG1	PTPN11	15563458	PINA	1.000
O60216	A4UGR9	RAD21	XIRP2	22145905	PINA	1.000
O43463	Q6P1J9	SUV39H1	CDC73	21726809	PINA	1.000
O95140	P45984	MFN2	MAPK9	22748923	PINA	1.000
P55285	Q9ULB4	CDH6	CDH9	10861224	PINA	1.000
P55285	Q9ULB5	CDH6	CDH7	10861224	PINA	1.000
P35240	Q92574	NF2	TSC1	12226091	PINA	1.000
P60520	Q14145	GABARAPL2	KEAP1	20562859	PINA	1.000
Q06323	Q9HAW4	PSME1	CLSPN	18451105	PINA	1.000
O60437	Q9UMD9	PPL	COL17A1	9521878	PINA	1.000
P25054	P52272	APC	HNRNPM	20936779	PINA	1.000
Q12933	Q9UKE5	TRAF2	TNIK	10521462	PINA	1.000
Q12933	Q9UKG1	TRAF2	APPL1	16189514	PINA	1.000
Q13616	Q16629	CUL1	SRSF7	21145461	PINA	1.000
P04049	P10114	RAF1	RAP2A	9523700	PINA	1.000
Q15717	Q7Z628	ELAVL1	NET1	19322201	PINA	1.000
P01034	P07711	CST3	CTSL1	15174051, 10428479	PINA	1.000
P08631	Q9P0K1	HCK	ADAM22	10.1016/j.jmb.2006.11.013	PINA	1.000
O15042	P61956	U2SURP	SUMO2	21693764, 19471022	PINA	1.000
P23760	Q9GZV5	PAX3	WWTR1	16300735	PINA	1.000
Q06323	Q9HB75	PSME1	PIDD	21415862	PINA	1.000
P14921	Q13164	ETS1	MAPK7	11948414	PINA	1.000
O15530	P35568	PDPK1	IRS1	15802620	PINA	1.000
Q96B97	Q9NVA2	SH3KBP1	SEPT11	19531213	PINA	1.000
Q8IWV8	Q9UNN5	UBR2	FAF1	18775313	PINA	1.000
Q9H2M9	Q9H2X6	RAB3GAP2	HIPK2	11740489	PINA	1.000
P09651	Q9UMS4	HNRNPA1	PRPF19	22446626	PINA	1.000
