UniProt/SwissProt Accession	HGNC symbol
P16520	GNB3
Q5T4T6	SYCP2L
P62807	HIST1H2BE
P78344	EIF4G2
Q12908	SLC10A2
P62805	HIST1H4D
P68431	HIST1H3D
Q13950	RUNX2
P68431	HIST1H3D
Q13950	RUNX2
Q99542	MMP19
P46087	NOP2
A6NKG5	RTL1
Q9Y5N5	N6AMT1
Q9Y5N5	N6AMT1
Q13950	RUNX2
Q15542	TAF5
P01009	SERPINA1
P01009	SERPINA1
Q96MT1	RNF145
Q5SRR4	LY6G5C
Q96MT1	RNF145
P01009	SERPINA1
O00444	PLK4
P01009	SERPINA1
P01009	SERPINA1
O00444	PLK4
O00444	PLK4
Q96IX5	USMG5
O00444	PLK4
O14684	PTGES
Q96IX5	USMG5
O00444	PLK4
P68400	CSNK2A1
Q96IX5	USMG5
Q96IX5	USMG5
P68400	CSNK2A1
Q96PD4	IL17F
Q96IX5	USMG5
P01009	SERPINA1
P01009	SERPINA1
P01009	SERPINA1
Q01844	EWSR1
O15209	ZBTB22
P51686	CCR9
O15209	ZBTB22
Q9NW15	ANO10
P25440	BRD2
Q8WY64	MYLIP
P25440	BRD2
O94822	LTN1
P59103	DAOA
P19367	HK1
O94822	LTN1
P52799	EFNB2
P36959	GMPR
P49116	NR2C2
Q14BN4	SLMAP
Q9NWB6	ARGLU1
O94822	LTN1
P25205	MCM3
P49116	NR2C2
Q8WUY1	C8orf55
B1AL88	FAM155A
P49917	LIG4
O14657	TOR1B
P49917	LIG4
P25205	MCM3
P49917	LIG4
P55000	SLURP1
P0CL84	STAG3L2
Q7L211	ABHD13
Q6UXB3	LYPD2
P0CL84	STAG3L2
Q6NUJ5	PWWP2B
Q14028	CNGB1
P0CL84	STAG3L2
Q14028	CNGB1
Q9Y275	TNFSF13B
Q5T1B1	C10orf91
Q5T1B1	C10orf91
P54253	ATXN1
A1Z1Q3	MACROD2
Q8N9Z2	C7orf74
O14656	TOR1A
Q8TBA6	GOLGA5
O95870	ABHD16A
Q9H0P0	NT5C3
P54253	ATXN1
P54253	ATXN1
P48736	PIK3CG
Q96IV6	C5orf4
P48736	PIK3CG
Q86SR0	LYNX1
P48736	PIK3CG
Q9BZG9	LYNX1
Q9NZU0	FLRT3
Q9BQS8	FYCO1
Q9BZG9	LYNX1
P52757	CHN2
Q9NZU0	FLRT3
Q9BZG9	LYNX1
Q9BRP8	WIBG
Q9UER7	DAXX
Q9UER7	DAXX
Q92552	MRPS27
Q9NZA1	CLIC5
P57060	RWDD2B
Q14642	INPP5A
P42356	PI4KA
P31323	PRKAR2B
Q96L93	KIF16B
Q5T2E6	C10orf76
O43167	ZBTB24
Q13557	CAMK2D
Q9NY12	GAR1
Q96L93	KIF16B
Q9NY12	GAR1
Q96L93	KIF16B
A6NI72	NCF1
P14598	NCF1
Q12870	TCF15
Q96L93	KIF16B
Q9BYN0	SRXN1
P28289	TMOD1
Q9NQ03	SCRT2
Q14690	PDCD11
P28289	TMOD1
Q9Y5T5	USP16
Q9NQ40	C20orf54
Q9NZ63	C9orf78
Q9Y5T5	USP16
P23743	DGKA
Q6URK8	TEPP
O14718	RRH
Q99618	CDCA3
Q99501	GAS2L1
Q8N119	MMP21
O95868	LY6G6D
Q92737	RASL10A
P20794	MAK
P20794	MAK
P23743	DGKA
Q9NXF1	TEX10
P08579	SNRPB2
O60609	GFRA3
Q3SXY7	LRIT3
Q9Y6X6	MYO16
P08579	SNRPB2
O95866	C6orf25
Q8WWA1	TMEM40
Q9Y6X6	MYO16
Q86U17	SERPINA11
P10746	UROS
Q5JUQ0	FAM78A
Q9BQ89	FAM110A
P10746	UROS
Q8WWA1	TMEM40
Q9BQ89	FAM110A
Q9BQ89	FAM110A
Q7Z4S6	KIF21A
O95867	LY6G6C
Q9BQ89	FAM110A
Q8WWA1	TMEM40
Q5T7W7	TSTD2
Q8NBV4	PPAPDC3
Q8TF63	C5orf20
Q9Y264	ANGPT4
Q6ZNK6	TIFAB
Q86WD7	SERPINA9
Q9Y6X5	ENPP4
Q86WD7	SERPINA9
Q2I0M5	RSPO4
Q9Y6X5	ENPP4
Q92886	NEUROG1
Q14210	LY6D
Q9P2F9	ZNF319
Q10567	AP1B1
O95715	CXCL14
P23743	DGKA
P30988	CALCR
Q10567	AP1B1
Q9BQ65	C16orf57
Q92530	PSMF1
P10645	CHGA
P06340	HLA-DOA
Q9NRC9	OTOR
Q92530	PSMF1
P45974	USP5
Q9Y4H2	IRS2
Q9BX46	RBM24
P30988	CALCR
Q9UFF9	CNOT8
Q9UFF9	CNOT8
Q6ZT89	SLC25A48
Q9BT76	UPK3B
P16519	PCSK2
P50990	CCT8
O75677	RFPL1
Q6ZT89	SLC25A48
Q86YV9	HPS6
P12036	NEFH
P01133	EGF
P61204	ARF3
Q5TCS8	AKD1
P01133	EGF
Q8WVY7	UBLCP1
Q9UJA9	ENPP5
Q9UJA9	ENPP5
Q12934	BFSP1
O95865	DDAH2
A6NMT0	DBX1
Q5JSZ5	PRRC2B
Q99445	GML
O95865	DDAH2
Q9Y2K6	USP20
O95865	DDAH2
Q9Y2K6	USP20
Q6PJE2	POMZP3
Q9Y2K6	USP20
P02462	COL4A1
Q5JSZ5	PRRC2B
Q969S9	GFM2
Q5JSZ5	PRRC2B
Q9BUP3	HTATIP2
P15538	CYP11B1
O00574	CXCR6
Q9BUP3	HTATIP2
O00574	CXCR6
Q13769	THOC5
O00574	CXCR6
O60381	HBP1
O00574	CXCR6
Q9BUP3	HTATIP2
Q9NUR3	C20orf46
Q9BUP3	HTATIP2
A1L157	TSPAN11
A1L168	C20orf202
Q13769	THOC5
P29460	IL12B
O60381	HBP1
O75603	GCM2
O00299	CLIC1
O00299	CLIC1
Q9H4I0	RAD21L1
Q8WTS1	ABHD5
O00299	CLIC1
O60381	HBP1
O00299	CLIC1
P46094	XCR1
Q9H4I0	RAD21L1
Q9NXG6	P4HTM
Q53EQ6	TIGD5
Q9H4I0	RAD21L1
Q13769	THOC5
Q13769	THOC5
Q86U70	LDB1
Q8TEZ7	PAQR8
Q8TEZ7	PAQR8
O15079	SNPH
O15079	SNPH
P60981	DSTN
Q53H96	PYCRL
P05546	SERPIND1
P05546	SERPIND1
P20036	HLA-DPA1
Q8WV60	PTCD2
P20036	HLA-DPA1
Q9NQ31	AKIP1
P20036	HLA-DPA1
Q9UL40	ZNF346
Q9H190	SDCBP2
Q9H190	SDCBP2
Q9H190	SDCBP2
P30307	CDC25C
P15248	IL9
Q9NQ31	AKIP1
P51511	MMP15
Q8IV56	PRR15
O95721	SNAP29
P35368	ADRA1B
Q8IW75	SERPINA12
P46109	CRKL
P46109	CRKL
P51677	CCR3
P51677	CCR3
Q9UP83	COG5
Q14206	RCAN2
Q9P2E9	RRBP1
P29622	SERPINA4
P51677	CCR3
Q8IXS2	CCDC65
Q13572	ITPK1
Q9BW19	KIFC1
P57077	C21orf7
Q99614	TTC1
Q9P2E9	RRBP1
Q96NN9	AIFM3
P57077	C21orf7
P57077	C21orf7
P57077	C21orf7
P57077	C21orf7
Q13572	ITPK1
P82663	MRPS25
P57077	C21orf7
Q9NXB9	ELOVL2
P57077	C21orf7
Q9BPW8	NIPSNAP1
P40123	CAP2
P57077	C21orf7
P19099	CYP11B2
Q9NYL4	FKBP11
Q96NN9	AIFM3
Q5JVL4	EFHC1
O15165	C18orf1
Q92562	FIG4
Q96H12	C9orf30
Q9C056	NKX6-2
Q9NNW5	WDR6
P62942	FKBP1A
Q8TA86	RP9
O14867	BACH1
O14867	BACH1
Q14839	CHD4
P62942	FKBP1A
Q09161	NCBP1
Q09161	NCBP1
Q96ND0	C18orf19
Q92771	DDX11
Q96ND0	C18orf19
Q16553	LY6E
Q13630	TSTA3
O75155	CAND2
Q16553	LY6E
P35240	NF2
A6NGB9	WIPF3
P08572	COL4A2
A6NGB9	WIPF3
O43148	RNMT
Q8IYW2	C10orf93
Q5SR76	C10orf93
O43148	RNMT
O14960	LECT2
Q9Y6A4	C16orf80
O60678	PRMT3
Q3SYG4	BBS9
P32246	CCR1
P60508	ERVFRD-1
Q96FC9	DDX11
O60678	PRMT3
P41597	CCR2
P41597	CCR2
Q9Y333	LSM2
Q14511	NEDD9
P33032	MC5R
Q96N64	PWWP2A
O75369	FLNB
P04440	HLA-DPB1
P63211	GNGT1
P63211	GNGT1
Q01718	MC2R
Q01718	MC2R
Q9H503	BANF2
P51681	CCR5
P51681	CCR5
Q9H503	BANF2
Q9HA72	CALHM2
P05154	SERPINA5
Q9HA72	CALHM2
Q9UNZ2	NSFL1C
P51681	CCR5
Q86UP8	GTF2IRD2
P21452	TACR2
Q9UNZ2	NSFL1C
P51681	CCR5
Q9UNZ2	NSFL1C
Q14314	FGL2
O75369	FLNB
Q9NX57	RAB20
Q8IYR6	TMEFF1
Q9H5J4	ELOVL6
Q9H5J4	ELOVL6
Q12765	SCRN1
P39086	GRIK1
P51161	FABP6
Q12765	SCRN1
Q99680	GPR22
P19784	CSNK2A2
Q9H1K0	ZFYVE20
Q8N9V7	C3orf77
Q8TB69	ZNF519
P51161	FABP6
P51161	FABP6
Q12765	SCRN1
Q12765	SCRN1
Q9Y5X3	SNX5
Q9NYL5	CYP39A1
Q5BKX8	MURC
P48307	TFPI2
O95620	DUS4L
Q9Y5X3	SNX5
B2RU33	POTEC
Q5VV67	PPRC1
Q9H0I3	CCDC113
O95858	TSPAN15
Q8N653	LZTR1
P08107	HSPA1B
Q86V35	CABP7
Q9UDW3	ZMAT5
Q9UDW3	ZMAT5
A4D1B5	PION
Q96BY2	MOAP1
Q9BRP0	OVOL2
Q8N3R3	C3orf23
Q9BXX2	ANKRD30B
Q6PEW0	PRSS54
Q9UDW1	UQCR10
Q8N3R3	C3orf23
Q9UDW1	UQCR10
P40967	PMEL
Q9UBA6	C6orf48
Q9UBA6	C6orf48
O75123	ZNF623
Q9UBA6	C6orf48
Q9UBA6	C6orf48
P22455	FGFR4
Q9UBA6	C6orf48
P42766	RPL35
P22455	FGFR4
Q9UBA6	C6orf48
Q9BQP7	C20orf72
Q9UBA6	C6orf48
Q9UBA6	C6orf48
O95478	NSA2
Q15035	TRAM2
Q9UBA6	C6orf48
Q8N653	LZTR1
P60174	TPI1
Q49AG3	ZBED5
Q49AG3	ZBED5
P60174	TPI1
Q07075	ENPEP
Q96RU3	FNBP1
Q99547	MPHOSPH6
O00421	CCRL2
O95847	SLC25A27
Q8N9H6	C8orf31
O00421	CCRL2
P01011	SERPINA3
Q13464	ROCK1
O00421	CCRL2
O00421	CCRL2
P56750	CLDN17
P23025	XPA
Q9NYF3	FAM53C
P56748	CLDN8
P56748	CLDN8
Q3LI83	KRTAP24-1
Q9NYF3	FAM53C
Q3LHN0	KRTAP25-1
Q9H1I8	ASCC2
P01011	SERPINA3
Q6PEX3	KRTAP26-1
Q8IV13	CCNJL
Q3LI81	KRTAP27-1
Q9HA77	CARS2
A1A580	KRTAP23-1
O00744	WNT10B
Q8N6I4	C14orf109
Q52LG2	KRTAP13-2
Q8IUC0	KRTAP13-1
Q3SY46	KRTAP13-3
Q9BRX5	GINS3
Q9H1I8	ASCC2
Q8IU99	CALHM1
Q3LI77	KRTAP13-4
P40967	PMEL
Q86XJ0	CALHM3
Q14032	BAAT
O00358	FOXE1
P10321	HLA-C
Q9NQ32	C11orf16
Q9NVR7	TBCCD1
Q9Y6G1	TMEM14A
Q14032	BAAT
Q15582	TGFBI
Q9BU70	C9orf156
Q9UBU6	FAM8A1
Q9NVR7	TBCCD1
O76050	NEURL
P04628	WNT1
P46095	GPR6
P46095	GPR6
Q6P9A2	GALNTL4
Q99519	NEU1
Q3LI76	KRTAP15-1
Q9BXV9	C14orf142
Q8IUB9	KRTAP19-1
Q9BPX5	ARPC5L
Q9BPX5	ARPC5L
Q9P287	BCCIP
Q9H8E8	CSRP2BP
Q6ZRF8	RNF207
Q8N895	ZNF366
Q9Y345	SLC6A5
P55290	CDH13
Q9H8E8	CSRP2BP
Q5T4T1	TMEM170B
Q5JXA9	SIRPB2
Q92558	WASF1
Q92558	WASF1
P09210	GSTA2
Q92558	WASF1
Q92558	WASF1
Q9NQ33	ASCL3
Q92558	WASF1
O94772	LY6H
Q9C091	GREB1L
P52736	ZNF133
P62910	RPL32
O94772	LY6H
O94772	LY6H
P62910	RPL32
Q9H106	SIRPD
P52736	ZNF133
Q9NQ34	TMEM9B
P62910	RPL32
P52736	ZNF133
P52736	ZNF133
Q7RTT9	SLC29A4
Q3LHN2	KRTAP19-2
Q7Z4W3	KRTAP19-3
P52736	ZNF133
O00241	SIRPB1
P62910	RPL32
Q7RTT9	SLC29A4
Q3LI73	KRTAP19-4
O00241	SIRPB1
Q3LI72	KRTAP19-5
Q3LI70	KRTAP19-6
Q9UHQ4	BCAP29
Q5TFQ8	SIRPB1
P48444	ARCN1
Q3SYF9	KRTAP19-7
Q8N806	UBR7
Q9UIM3	FKBPL
Q5D0E6	DALRD3
Q3LI68	KRTAP22-2
Q3LI67	KRTAP6-3
Q3LI66	KRTAP6-2
Q9UBS4	DNAJB11
A6NNH0	GATSL1
A6NHX0	GATSL1
Q9UHQ4	BCAP29
Q14978	NOLC1
Q9Y6A1	POMT1
Q9P1W8	SIRPG
Q9UBS4	DNAJB11
Q99946	PRRT1
P02788	LTF
Q9Y6A1	POMT1
Q8NGQ5	OR9Q1
Q9Y6A1	POMT1
Q92805	GOLGA1
Q9BT49	THAP7
Q3MIV0	KRTAP22-1
Q3LI64	KRTAP6-1
Q9BT49	THAP7
Q96IZ2	C6orf105
O94850	DDN
Q3LI63	KRTAP20-1
Q8NGQ2	OR6Q1
Q3LI62	KRTAP20-4
Q8NGQ6	OR9I1
Q3LI61	KRTAP20-2
Q8NGE9	OR9Q2
Q8NGQ3	OR1S2
Q96C28	ZNF707
Q8NH92	OR1S1
O60841	EIF5B
Q9NWM8	FKBP14
Q9NVP4	C20orf12
Q8TEQ6	GEMIN5
Q9NVP4	C20orf12
P78324	SIRPA
Q86SQ6	GPR123
P54619	PRKAG1
P78324	SIRPA
Q96C28	ZNF707
Q96C28	ZNF707
Q8N5N7	MRPL50
Q9Y6A1	POMT1
O60508	CDC40
Q96I51	WBSCR16
Q9Y6A1	POMT1
O15547	P2RX6
Q9Y6A1	POMT1
O60508	CDC40
Q3LI60	KRTAP20-3
Q3LHN1	KRTAP21-3
Q6DN90	IQSEC1
Q3LI59	KRTAP21-2
O60522	TDRD6
Q3LI58	KRTAP21-1
Q8IUC2	KRTAP8-1
P25054	APC
Q8IUC1	KRTAP11-1
O15547	P2RX6
Q8NGQ4	OR10Q1
P25054	APC
Q9NQ35	NRIP3
Q8NGF6	OR10W1
Q13615	MTMR3
Q92973	TNPO1
Q8NGF7	OR5B17
P49790	NUP153
Q8NH48	OR5B3
Q6QNK2	GPR133
Q96R09	OR5B2
O75506	HSBP1
Q9UK53	ING1
Q96K76	USP47
Q9HCB6	SPON1
Q92973	TNPO1
Q5TCZ1	SH3PXD2A
O95822	MLYCD
Q96JA3	PLEKHA8
P01213	PDYN
Q96JA3	PLEKHA8
Q8IVM7	NCRNA00346
Q8TBF4	ZCRB1
Q92832	NELL1
Q96K76	USP47
Q92832	NELL1
Q96D53	ADCK4
Q9NXR5	ANKRD10
Q92973	TNPO1
Q13009	TIAM1
Q9Y6X4	FAM169A
Q9H1D9	POLR3F
Q8NEQ5	C1orf162
Q9UJX0	OSGIN1
P02765	AHSG
Q9UJX0	OSGIN1
Q8IV16	GPIHBP1
Q9UJX0	OSGIN1
Q9Y4Z2	NEUROG3
Q7L7V1	DHX32
Q9BXL5	HEMGN
Q8TDR2	STK35
Q5FWF5	ESCO1
Q9BXL5	HEMGN
Q8TDR2	STK35
P61952	GNG11
Q8N7B1	HORMAD2
O75820	ZNF189
Q9BXJ5	C1QTNF2
Q8N7B1	HORMAD2
Q96D05	C10orf35
Q7LBC6	KDM3B
Q8IZ13	C5orf54
Q8TEF2	C10orf105
Q08188	TGM3
Q8TEF2	C10orf105
Q8N8Y5	ZFP41
O75884	RBBP9
O15155	BET1
P33765	ADORA3
Q5FYB0	ARSJ
O43246	SLC7A4
O43246	SLC7A4
P15018	LIF
Q13093	PLA2G7
Q96DU7	ITPKC
O15417	TNRC18
Q99619	SPSB2
Q99619	SPSB2
Q9H7M9	C10orf54
Q5BKX5	C19orf54
Q92688	ANP32B
P54289	CACNA2D1
P62314	SNRPD1
O94916	NFAT5
Q76NI1	KNDC1
Q8WU67	ABHD3
Q86UU1	PHLDB1
O95932	TGM6
P09012	SNRPA
P05062	ALDOB
Q16674	MIA
Q16674	RAB4B
Q96L73	NSD1
Q9NQ36	SCUBE2
Q7Z6G3	NECAB2
P61018	MIA
P61018	RAB4B
O60888	CUTA
Q16880	UGT8
Q15437	SEC23B
Q15437	SEC23B
Q16880	UGT8
Q15437	SEC23B
P13942	COL11A2
Q86YT6	MIB1
Q96L73	NSD1
Q15437	SEC23B
P62834	RAP1A
O95391	SLU7
P13725	OSM
P62834	RAP1A
Q8IX03	WWC1
P62834	RAP1A
Q9H3R1	NDST4
Q5TAT6	COL13A1
Q9NXX6	NSMCE4A
Q8WTX7	GATSL3
Q96KS0	EGLN2
Q96KS0	EGLN2
P56915	GSC
Q8WTT2	NOC3L
P11509	CYP2A6
Q504U0	C4orf46
Q6EKJ0	GTF2IRD2B
P20853	CYP2A7
Q92908	GATA6
P08263	GSTA1
Q3LI54	KRTAP19-8
Q9NTI7	C1orf183
Q7Z591	AKNA
Q86UU1	PHLDB1
Q5VW38	GPR107
P00441	SOD1
P15822	HIVEP1
Q9Y6W3	CAPN7
P08123	COL1A2
Q7Z591	AKNA
Q5VW38	GPR107
Q96RT6	CTAGE1
Q6EKJ0	GTF2IRD2B
Q9BXI6	TBC1D10A
Q14155	ARHGEF7
Q9HB03	ELOVL3
P20813	CYP2B6
O60725	ICMT
Q8N9R8	SCAI
P59923	ZNF445
Q9H1C0	LPAR5
P59923	ZNF445
Q9HAQ2	KIF9
P10075	GLI4
Q53EV4	LRRC23
Q9H1C0	LPAR5
Q9HAQ2	KIF9
Q05209	PTPN12
Q53EV4	LRRC23
Q8TEA8	DTD1
P07602	PSAP
Q9UGM5	FETUB
Q9BR46	C20orf78
P07602	PSAP
Q9UGM5	FETUB
Q9UHI6	DDX20
Q9UJQ7	C20orf79
Q9P203	BTBD7
P36268	GGT2
A6NGU5	GGT2
Q00266	MAT1A
P36268	GGT2
A6NGU5	GGT2
Q9GZM5	YIPF3
Q16134	ETFDH
Q9HAQ2	KIF9
Q99708	RBBP8
Q9NWU5	MRPL22
Q99708	RBBP8
Q16696	CYP2A13
Q9HC58	SLC24A3
Q9NYM9	BET1L
Q6ZMS4	ZNF852
Q9UBJ2	ABCD2
P28067	HLA-DMA
Q99697	PITX2
Q9ULI4	KIF26A
O14686	MLL2
Q99697	PITX2
Q8TEM1	NUP210
P14678	SNRPB
P24903	CYP2F1
Q9H668	OBFC1
Q86WS4	C12orf40
P53365	ARFIP2
Q9H668	OBFC1
Q14574	DSC3
Q8WWB3	DYDC1
Q15459	SF3A1
Q86WS4	C12orf40
Q8WWB3	DYDC1
Q9BU61	NDUFAF3
P53365	ARFIP2
Q9NX36	DNAJC28
Q96MT3	PRICKLE1
Q9NR45	NANS
O75364	PITX3
Q9NX36	DNAJC28
A6NNM3	RIMBP3B
Q96MT3	PRICKLE1
Q9NX36	DNAJC28
A6NNM3	RIMBP3B
Q96JB3	HIC2
Q96JB3	HIC2
Q96JB3	HIC2
Q8TD33	SCGB1C1
A6NJZ7	RIMBP3C
Q96MT3	PRICKLE1
Q8N3F0	C7orf41
A6NJZ7	RIMBP3C
Q9UBZ9	REV1
Q96QV1	HHIP
Q8TC84	FANK1
P68036	UBE2L3
A6NNN8	SLC38A8
Q8N3F0	C7orf41
Q9H7X3	ZNF696
Q8WYP3	RIN2
Q75V66	ANO5
Q9NW64	RBM22
Q9UK17	KCND3
Q7RTV2	GSTA5
Q7RTV2	GSTA5
P22003	BMP5
Q96I85	C14orf144
A8MPS7	YDJC
Q02487	DSC2
Q16819	MEP1A
Q5TGS1	HES3
Q14142	TRIM14
Q96SQ9	CYP2S1
P61599	NAA20
Q9UPY3	DICER1
Q8N912	C14orf180
Q14142	TRIM14
Q14142	TRIM14
P04196	HRG
Q8N912	C14orf180
Q6P1L6	ZNF343
O95997	PTTG1
Q9NZH5	PTTG1
Q6NV75	GPR153
P09104	ENO2
Q9P0L1	ZNF167
Q8IYX3	CCDC116
Q569K6	CCDC157
Q96PU9	ODF3
P62070	RRAS2
O95997	PTTG1
Q9NZH5	PTTG1
Q8N8J7	C4orf32
Q9UPY3	DICER1
Q9HCN8	SDF2L1
P12268	IMPDH2
Q96IM9	DYDC2
P30530	AXL
Q9P0L1	ZNF167
Q96IM9	DYDC2
Q569K6	CCDC157
Q96IM9	DYDC2
Q96KQ7	EHMT2
Q96IM9	DYDC2
Q5T230	UTF1
Q31612	HLA-B
P01889	HLA-B
P30480	HLA-B
Q29836	HLA-B
Q31610	HLA-B
P30486	HLA-B
Q8TDI7	TMC2
Q9P2B4	CTTNBP2NL
Q9BRR3	C9orf125
Q9BRR3	C9orf125
Q92538	GBF1
Q9BRR3	C9orf125
Q9P2U8	SLC17A6
Q9P109	GCNT4
P17693	HLA-G
Q16772	GSTA3
Q96FN4	CPNE2
P17693	HLA-G
O95231	VENTX
P17693	HLA-G
O00154	ACOT7
Q9BQQ7	RTP3
Q8NEB7	ACRBP
Q9H2G2	SLK
Q9BZJ0	CRNKL1
Q8IZF2	GPR116
Q96QE2	SLC2A13
Q8IZF2	GPR116
Q969Q5	RAB24
Q8IZF2	GPR116
Q8IZF2	GPR116
Q13356	PPIL2
Q9BRX8	C10orf58
P22102	GART
Q969Q5	RAB24
Q9BUJ2	HNRNPUL1
Q13356	PPIL2
Q8N8U9	BMPER
Q969P6	TOP1MT
Q9BRX8	C10orf58
P22102	GART
P22102	GART
O95104	SCAF4
Q2VIQ3	KIF4B
Q9BRX8	C10orf58
Q9NPI8	FANCF
Q8N8U9	BMPER
Q8NHG8	ZNRF2
Q9Y6U7	RNF215
Q13356	PPIL2
Q14703	MBTPS1
P15559	NQO1
Q93097	WNT2B
O43903	GAS2
Q9BSJ2	TUBGCP2
O43903	GAS2
Q9BRK0	REEP2
Q92629	SGCD
Q92629	SGCD
P01042	KNG1
O43903	GAS2
Q99717	SMAD5
Q99717	SMAD5
P05305	EDN1
Q9BSJ2	TUBGCP2
Q9H1H9	KIF13A
Q96ME1	FBXL18
O76054	SEC14L2
Q96P44	COL21A1
Q8TAI7	RHEBL1
Q6IPR1	LYRM5
Q9Y239	NOD1
P25440	BRD2
Q99943	AGPAT1
Q63HQ0	AP1AR
Q08752	PPID
Q99943	AGPAT1
O00567	NOP56
P25440	BRD2
Q99943	AGPAT1
Q9BYS8	LRRC2
Q99943	AGPAT1
Q9BYS8	LRRC2
Q96PV0	SYNGAP1
Q27J81	INF2
Q96S65	CSRNP1
Q99943	AGPAT1
Q99943	AGPAT1
Q8N7Z5	ANKRD31
Q12872	SFSWAP
Q8N609	TRAM1L1
Q2TAL8	QRICH1
Q6IQ26	DENND5A
P09132	SRP19
Q86XT2	VPS37D
P62166	NCS1
Q2TAL8	QRICH1
Q2TAL8	QRICH1
Q8TDN4	CABLES1
P01116	KRAS
O15217	GSTA4
O95803	NDST3
Q9UM13	ANAPC10
Q9UM13	ANAPC10
Q8N6K0	C13orf16
P59510	ADAMTS20
Q08554	DSC1
Q9NPQ8	RIC8A
O15217	GSTA4
O00570	SOX1
Q702N8	XIRP1
Q8TDW4	ST7L
O00743	PPP6C
Q99946	PRRT1
Q96LL9	DNAJC30
Q96KW9	SPACA7
Q8NHU2	C20orf26
Q9UNL4	ING4
O60688	YPEL1
Q9UNL4	ING4
Q24JQ0	C18orf45
Q9P2D8	KIAA1409
Q96PB1	CASD1
O94823	ATP10B
Q02413	DSG1
O43323	DHH
Q9UNL4	ING4
Q5VTR2	RNF20
Q9UJW0	DCTN4
Q96B67	ARRDC3
Q9UNL4	ING4
P06340	HLA-DOA
Q14240	EIF4A2
O60239	SH3BP5
Q5SRD1	C18orf45
P53618	COPB1
P53618	COPB1
Q9BW11	MXD3
P57058	HUNK
Q9ULX3	NOB1
Q96CW5	TUBGCP3
Q8TD08	MAPK15
Q9C0D0	PHACTR1
O43184	ADAM12
Q9Y5J6	FXC1
Q8NHG7	SVIP
Q96F63	CCDC97
Q9UDX5	MTFP1
Q9NYP9	MIS18A
Q9Y5J6	FXC1
Q9UMR5	PPT2
Q9UDX5	MTFP1
P01137	TGFB1
Q96CG3	TIFA
Q9UMR5	PPT2
Q9UMR5	PPT2
Q9UMR5	PPT2
Q9HCX4	TRPC7
Q99942	RNF5
Q5S007	LRRK2
Q6ZNR0	TMEM91
P28482	MAPK1
Q92828	CORO2A
Q6AZW8	ZNF660
Q92828	CORO2A
Q8TCY5	MRAP
Q9Y543	HES2
P28482	MAPK1
Q8TCY5	MRAP
Q6W5P4	NPSR1
Q96H15	TIMD4
P54136	RARS
Q9UDX4	SEC14L3
Q9ULZ9	MMP17
Q86SJ6	DSG4
Q96QP1	ALPK1
O43709	WBSCR22
P20036	HLA-DPA1
O75223	GGCT
O14709	ZNF197
O14730	RIOK3
P04035	HMGCR
P20036	HLA-DPA1
O14709	ZNF197
P60709	ACTB
Q6UX01	LMBR1L
Q9UDX3	SEC14L4
Q96QP1	ALPK1
P04439	HLA-A
P16188	HLA-A
P13746	HLA-A
Q9BPU9	B9D2
Q9UBP4	DKK3
Q9H0K6	PUS7L
Q9UBP4	DKK3
Q9H0K6	PUS7L
P54259	ATN1
P54259	ATN1
P32926	DSG3
Q9GZU8	FAM192A
Q14126	DSG2
Q01101	INSM1
Q9NQT4	EXOSC5
O43837	IDH3B
P18146	EGR1
P0CL83	STAG3L1
P51826	AFF3
Q9H0K6	PUS7L
Q96DX4	RSPRY1
O60287	URB1
Q9UBP4	DKK3
Q8TBK2	SETD6
P51826	AFF3
Q96DB2	HDAC11
Q8TBK2	SETD6
P51826	AFF3
Q9NP50	FAM60A
P49593	PPM1F
P04439	HLA-A
P16188	HLA-A
P13746	HLA-A
P12694	BCKDHA
Q6PCB5	RSBN1L
P49593	PPM1F
Q6ZP68	C13orf35
Q86TE4	LUZP2
B1AK53	ESPN
Q0JRZ9	FCHO2
Q96D42	HAVCR1
P02766	TTR
Q2PPJ7	RALGAPA2
P56730	PRSS12
Q0JRZ9	FCHO2
Q00653	NFKB2
P98196	ATP11A
B5MCN3	SEC14L6
O75385	ULK1
Q9UMD9	COL17A1
Q00653	NFKB2
O95359	TACC2
Q7Z7M8	B3GNT8
Q99999	GAL3ST1
Q99999	GAL3ST1
Q99999	GAL3ST1
Q99999	GAL3ST1
Q9NW81	ATP5SL
Q6ZRV2	FAM83H
Q99999	GAL3ST1
Q6ZRV2	FAM83H
P98196	ATP11A
Q9BYX2	TBC1D2
P98196	ATP11A
A6NGS2	C19orf69
Q9BYX2	TBC1D2
Q9BYX2	TBC1D2
O94889	KLHL18
Q9BYX2	TBC1D2
P18583	SON
P18583	SON
Q9HCE5	METTL14
Q8NG11	TSPAN14
Q99999	GAL3ST1
Q99999	GAL3ST1
Q15109	AGER
P62495	ETF1
O60347	TBC1D12
Q5T601	GPR110
Q3KPI0	CEACAM21
P41250	GARS
Q3KPI0	CEACAM21
Q8NG11	TSPAN14
Q5T601	GPR110
Q8NG11	TSPAN14
Q5T601	GPR110
Q9Y2Y0	ARL2BP
Q9BYG7	MRO
Q93038	TNFRSF25
Q60I27	ALS2CL
Q96C00	ZBTB9
O95359	TACC2
Q9BYG7	MRO
P13682	ZNF35
Q9P278	FNIP2
P49238	CX3CR1
Q60I27	ALS2CL
O00541	PES1
O95985	TOP3B
